stratum,method,criterion,pass,scope
flicker,s_transform,bias,False,complete frozen development domain
flicker,s_transform,rmse,False,complete frozen development domain
flicker,s_transform,all_record_95_percent,True,complete frozen development domain
flicker,s_transform,extraction_failure,True,complete frozen development domain
flicker,s_transform,calibration_ci,False,complete frozen development domain
flicker,s_transform,physical_response,True,complete frozen development domain
flicker,stft,bias,True,complete frozen development domain
flicker,stft,rmse,True,complete frozen development domain
flicker,stft,all_record_95_percent,True,complete frozen development domain
flicker,stft,extraction_failure,True,complete frozen development domain
flicker,stft,calibration_ci,True,complete frozen development domain
flicker,stft,physical_response,True,complete frozen development domain
flicker,vmd,bias,False,complete frozen development domain
flicker,vmd,rmse,False,complete frozen development domain
flicker,vmd,all_record_95_percent,False,complete frozen development domain
flicker,vmd,extraction_failure,True,complete frozen development domain
flicker,vmd,calibration_ci,False,complete frozen development domain
flicker,vmd,physical_response,False,complete frozen development domain
flicker,wavelet,bias,False,complete frozen development domain
flicker,wavelet,rmse,False,complete frozen development domain
flicker,wavelet,all_record_95_percent,False,complete frozen development domain
flicker,wavelet,extraction_failure,True,complete frozen development domain
flicker,wavelet,calibration_ci,False,complete frozen development domain
flicker,wavelet,physical_response,False,complete frozen development domain
harmonics,s_transform,bias,False,complete frozen development domain
harmonics,s_transform,rmse,False,complete frozen development domain
harmonics,s_transform,all_record_95_percent,False,complete frozen development domain
harmonics,s_transform,extraction_failure,True,complete frozen development domain
harmonics,s_transform,calibration_ci,False,complete frozen development domain
harmonics,s_transform,physical_response,False,complete frozen development domain
harmonics,stft,bias,False,complete frozen development domain
harmonics,stft,rmse,False,complete frozen development domain
harmonics,stft,all_record_95_percent,False,complete frozen development domain
harmonics,stft,extraction_failure,True,complete frozen development domain
harmonics,stft,calibration_ci,False,complete frozen development domain
harmonics,stft,physical_response,False,complete frozen development domain
harmonics,vmd,bias,False,complete frozen development domain
harmonics,vmd,rmse,False,complete frozen development domain
harmonics,vmd,all_record_95_percent,False,complete frozen development domain
harmonics,vmd,extraction_failure,True,complete frozen development domain
harmonics,vmd,calibration_ci,False,complete frozen development domain
harmonics,vmd,physical_response,False,complete frozen development domain
harmonics,wavelet,bias,False,complete frozen development domain
harmonics,wavelet,rmse,False,complete frozen development domain
harmonics,wavelet,all_record_95_percent,False,complete frozen development domain
harmonics,wavelet,extraction_failure,True,complete frozen development domain
harmonics,wavelet,calibration_ci,False,complete frozen development domain
harmonics,wavelet,physical_response,False,complete frozen development domain
impulsive_transient,s_transform,bias,False,complete frozen development domain
impulsive_transient,s_transform,rmse,False,complete frozen development domain
impulsive_transient,s_transform,all_record_95_percent,False,complete frozen development domain
impulsive_transient,s_transform,extraction_failure,True,complete frozen development domain
impulsive_transient,s_transform,calibration_ci,False,complete frozen development domain
impulsive_transient,s_transform,physical_response,True,complete frozen development domain
impulsive_transient,stft,bias,False,complete frozen development domain
impulsive_transient,stft,rmse,False,complete frozen development domain
impulsive_transient,stft,all_record_95_percent,False,complete frozen development domain
impulsive_transient,stft,extraction_failure,True,complete frozen development domain
impulsive_transient,stft,calibration_ci,False,complete frozen development domain
impulsive_transient,stft,physical_response,True,complete frozen development domain
impulsive_transient,vmd,bias,False,complete frozen development domain
impulsive_transient,vmd,rmse,False,complete frozen development domain
impulsive_transient,vmd,all_record_95_percent,False,complete frozen development domain
impulsive_transient,vmd,extraction_failure,True,complete frozen development domain
impulsive_transient,vmd,calibration_ci,False,complete frozen development domain
impulsive_transient,vmd,physical_response,False,complete frozen development domain
impulsive_transient,wavelet,bias,False,complete frozen development domain
impulsive_transient,wavelet,rmse,False,complete frozen development domain
impulsive_transient,wavelet,all_record_95_percent,False,complete frozen development domain
impulsive_transient,wavelet,extraction_failure,True,complete frozen development domain
impulsive_transient,wavelet,calibration_ci,False,complete frozen development domain
impulsive_transient,wavelet,physical_response,False,complete frozen development domain
interruption,s_transform,bias,False,complete frozen development domain
interruption,s_transform,rmse,False,complete frozen development domain
interruption,s_transform,all_record_95_percent,False,complete frozen development domain
interruption,s_transform,extraction_failure,True,complete frozen development domain
interruption,s_transform,calibration_ci,False,complete frozen development domain
interruption,s_transform,physical_response,True,complete frozen development domain
interruption,stft,bias,True,complete frozen development domain
interruption,stft,rmse,False,complete frozen development domain
interruption,stft,all_record_95_percent,False,complete frozen development domain
interruption,stft,extraction_failure,True,complete frozen development domain
interruption,stft,calibration_ci,True,complete frozen development domain
interruption,stft,physical_response,True,complete frozen development domain
interruption,vmd,bias,False,complete frozen development domain
interruption,vmd,rmse,False,complete frozen development domain
interruption,vmd,all_record_95_percent,False,complete frozen development domain
interruption,vmd,extraction_failure,True,complete frozen development domain
interruption,vmd,calibration_ci,False,complete frozen development domain
interruption,vmd,physical_response,True,complete frozen development domain
interruption,wavelet,bias,False,complete frozen development domain
interruption,wavelet,rmse,False,complete frozen development domain
interruption,wavelet,all_record_95_percent,False,complete frozen development domain
interruption,wavelet,extraction_failure,True,complete frozen development domain
interruption,wavelet,calibration_ci,False,complete frozen development domain
interruption,wavelet,physical_response,True,complete frozen development domain
notching,s_transform,bias,False,complete frozen development domain
notching,s_transform,rmse,False,complete frozen development domain
notching,s_transform,all_record_95_percent,False,complete frozen development domain
notching,s_transform,extraction_failure,True,complete frozen development domain
notching,s_transform,calibration_ci,True,complete frozen development domain
notching,s_transform,physical_response,True,complete frozen development domain
notching,stft,bias,False,complete frozen development domain
notching,stft,rmse,False,complete frozen development domain
notching,stft,all_record_95_percent,False,complete frozen development domain
notching,stft,extraction_failure,True,complete frozen development domain
notching,stft,calibration_ci,False,complete frozen development domain
notching,stft,physical_response,False,complete frozen development domain
notching,vmd,bias,False,complete frozen development domain
notching,vmd,rmse,False,complete frozen development domain
notching,vmd,all_record_95_percent,False,complete frozen development domain
notching,vmd,extraction_failure,True,complete frozen development domain
notching,vmd,calibration_ci,False,complete frozen development domain
notching,vmd,physical_response,True,complete frozen development domain
notching,wavelet,bias,False,complete frozen development domain
notching,wavelet,rmse,False,complete frozen development domain
notching,wavelet,all_record_95_percent,False,complete frozen development domain
notching,wavelet,extraction_failure,True,complete frozen development domain
notching,wavelet,calibration_ci,False,complete frozen development domain
notching,wavelet,physical_response,False,complete frozen development domain
oscillatory_transient,s_transform,bias,False,complete frozen development domain
oscillatory_transient,s_transform,rmse,False,complete frozen development domain
oscillatory_transient,s_transform,all_record_95_percent,False,complete frozen development domain
oscillatory_transient,s_transform,extraction_failure,True,complete frozen development domain
oscillatory_transient,s_transform,calibration_ci,False,complete frozen development domain
oscillatory_transient,s_transform,physical_response,False,complete frozen development domain
oscillatory_transient,stft,bias,False,complete frozen development domain
oscillatory_transient,stft,rmse,False,complete frozen development domain
oscillatory_transient,stft,all_record_95_percent,False,complete frozen development domain
oscillatory_transient,stft,extraction_failure,True,complete frozen development domain
oscillatory_transient,stft,calibration_ci,False,complete frozen development domain
oscillatory_transient,stft,physical_response,False,complete frozen development domain
oscillatory_transient,vmd,bias,False,complete frozen development domain
oscillatory_transient,vmd,rmse,False,complete frozen development domain
oscillatory_transient,vmd,all_record_95_percent,False,complete frozen development domain
oscillatory_transient,vmd,extraction_failure,True,complete frozen development domain
oscillatory_transient,vmd,calibration_ci,False,complete frozen development domain
oscillatory_transient,vmd,physical_response,False,complete frozen development domain
oscillatory_transient,wavelet,bias,False,complete frozen development domain
oscillatory_transient,wavelet,rmse,False,complete frozen development domain
oscillatory_transient,wavelet,all_record_95_percent,False,complete frozen development domain
oscillatory_transient,wavelet,extraction_failure,True,complete frozen development domain
oscillatory_transient,wavelet,calibration_ci,False,complete frozen development domain
oscillatory_transient,wavelet,physical_response,False,complete frozen development domain
sag,s_transform,bias,False,complete frozen development domain
sag,s_transform,rmse,False,complete frozen development domain
sag,s_transform,all_record_95_percent,False,complete frozen development domain
sag,s_transform,extraction_failure,True,complete frozen development domain
sag,s_transform,calibration_ci,False,complete frozen development domain
sag,s_transform,physical_response,False,complete frozen development domain
sag,stft,bias,False,complete frozen development domain
sag,stft,rmse,False,complete frozen development domain
sag,stft,all_record_95_percent,False,complete frozen development domain
sag,stft,extraction_failure,True,complete frozen development domain
sag,stft,calibration_ci,False,complete frozen development domain
sag,stft,physical_response,False,complete frozen development domain
sag,vmd,bias,False,complete frozen development domain
sag,vmd,rmse,False,complete frozen development domain
sag,vmd,all_record_95_percent,False,complete frozen development domain
sag,vmd,extraction_failure,True,complete frozen development domain
sag,vmd,calibration_ci,False,complete frozen development domain
sag,vmd,physical_response,False,complete frozen development domain
sag,wavelet,bias,True,complete frozen development domain
sag,wavelet,rmse,False,complete frozen development domain
sag,wavelet,all_record_95_percent,False,complete frozen development domain
sag,wavelet,extraction_failure,True,complete frozen development domain
sag,wavelet,calibration_ci,False,complete frozen development domain
sag,wavelet,physical_response,True,complete frozen development domain
swell,s_transform,bias,False,complete frozen development domain
swell,s_transform,rmse,False,complete frozen development domain
swell,s_transform,all_record_95_percent,False,complete frozen development domain
swell,s_transform,extraction_failure,True,complete frozen development domain
swell,s_transform,calibration_ci,False,complete frozen development domain
swell,s_transform,physical_response,True,complete frozen development domain
swell,stft,bias,False,complete frozen development domain
swell,stft,rmse,False,complete frozen development domain
swell,stft,all_record_95_percent,False,complete frozen development domain
swell,stft,extraction_failure,True,complete frozen development domain
swell,stft,calibration_ci,False,complete frozen development domain
swell,stft,physical_response,True,complete frozen development domain
swell,vmd,bias,False,complete frozen development domain
swell,vmd,rmse,False,complete frozen development domain
swell,vmd,all_record_95_percent,False,complete frozen development domain
swell,vmd,extraction_failure,True,complete frozen development domain
swell,vmd,calibration_ci,False,complete frozen development domain
swell,vmd,physical_response,True,complete frozen development domain
swell,wavelet,bias,True,complete frozen development domain
swell,wavelet,rmse,False,complete frozen development domain
swell,wavelet,all_record_95_percent,False,complete frozen development domain
swell,wavelet,extraction_failure,True,complete frozen development domain
swell,wavelet,calibration_ci,False,complete frozen development domain
swell,wavelet,physical_response,True,complete frozen development domain
