stratum,method,bias_gate_pass,rmse_gate_pass,all_record_95_percent_gate_pass,extraction_failure_gate_pass,calibration_ci_gate_pass,physical_response_gate_pass,all_development_gates_pass,failed_gate_count,failed_gates,final_status
flicker,s_transform,False,False,True,True,False,True,False,3,bias;rmse;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
flicker,stft,True,True,True,True,True,True,True,0,,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
flicker,vmd,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
flicker,wavelet,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
harmonics,s_transform,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
harmonics,stft,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
harmonics,vmd,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
harmonics,wavelet,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
impulsive_transient,s_transform,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
impulsive_transient,stft,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
impulsive_transient,vmd,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
impulsive_transient,wavelet,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
interruption,s_transform,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
interruption,stft,True,False,False,True,True,True,False,2,rmse;all_record_95_percent,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
interruption,vmd,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
interruption,wavelet,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
notching,s_transform,False,False,False,True,True,True,False,3,bias;rmse;all_record_95_percent,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
notching,stft,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
notching,vmd,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
notching,wavelet,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
oscillatory_transient,s_transform,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
oscillatory_transient,stft,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
oscillatory_transient,vmd,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
oscillatory_transient,wavelet,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
sag,s_transform,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
sag,stft,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
sag,vmd,False,False,False,True,False,False,False,5,bias;rmse;all_record_95_percent;calibration_ci;physical_response,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
sag,wavelet,True,False,False,True,False,True,False,3,rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
swell,s_transform,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
swell,stft,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
swell,vmd,False,False,False,True,False,True,False,4,bias;rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
swell,wavelet,True,False,False,True,False,True,False,3,rmse;all_record_95_percent;calibration_ci,BLOCKED_PENDING_FROZEN_VALIDITY_DOMAIN_AND_CONFIRMATION
